Occupation_cluster,Views
Interdisciplinary and Emerging Fields,5613145
Philosophy and Thought Leadership,2715005.551
Health and Medicine,2339805.122
Education and Academia,1913463.012
Arts and Entertainment,1793939.337
Creative Writing and Digital Content,1763011.264
Anthropology and Sociology,1742562.064
Technology Visionaries and Innovators,1665245.104
Performing Arts and Music,1641690.856
Media and Journalism,1397558.639
Social Activism and Human Rights,1375591.626
Architecture and Design,1361789.277
Science and Technology,1327478.117
Business and Economics,1304151.627
Public Policy and Governance,1257240.982
Philanthropy and Social Change,1160017.989
Creative Writing and Storytelling,1157469.069
Physical and Earth Sciences,1141295.846
Environment and Sustainability,1104006.973
Spiritual and Religious Leadership,946820.375